id	linkkey	aidkey	bidkey	decision
4012	99-71-28-006423_99-69-28-006171	99-71-28-006423	99-69-28-006171	confirm
4013	99-71-28-006475_99-69-28-006228	99-71-28-006475	99-69-28-006228	confirm
4014	99-71-28-006527_99-69-28-006280	99-71-28-006527	99-69-28-006280	confirm
4015	99-71-28-006598_99-67-10-009136	99-71-28-006598	99-67-10-009136	confirm
4016	99-71-28-006606_99-67-10-009231	99-71-28-006606	99-67-10-009231	confirm
4017	99-71-28-006641_99-69-01-001276	99-71-28-006641	99-69-01-001276	confirm
4018	99-71-28-006798_99-69-28-006537	99-71-28-006798	99-69-28-006537	confirm
4019	99-71-28-006799_99-69-28-006538	99-71-28-006799	99-69-28-006538	confirm
4020	99-71-28-006833_99-69-28-006600	99-71-28-006833	99-69-28-006600	confirm
4021	99-71-28-006907_99-69-28-006675	99-71-28-006907	99-69-28-006675	confirm
4022	99-71-28-007102_99-69-28-006852	99-71-28-007102	99-69-28-006852	confirm
4023	99-71-28-007338_99-69-10-001406	99-71-28-007338	99-69-10-001406	confirm
4024	99-71-28-007371_99-69-28-007126	99-71-28-007371	99-69-28-007126	confirm
4025	99-71-28-007398_99-69-28-007141	99-71-28-007398	99-69-28-007141	confirm
4026	99-71-28-007416_99-69-10-001865	99-71-28-007416	99-69-10-001865	confirm
4027	99-71-28-007417_99-69-28-007158	99-71-28-007417	99-69-28-007158	confirm
4028	99-71-28-007428_99-69-28-007175	99-71-28-007428	99-69-28-007175	confirm
4029	99-71-28-007456_99-67-28-007870	99-71-28-007456	99-67-28-007870	confirm
4030	99-71-28-007513_99-69-28-007338	99-71-28-007513	99-69-28-007338	confirm
4031	99-71-28-007514_99-69-28-007339	99-71-28-007514	99-69-28-007339	confirm
4032	99-71-28-007515_99-69-28-007341	99-71-28-007515	99-69-28-007341	confirm
4033	99-71-28-007547_99-69-28-007300	99-71-28-007547	99-69-28-007300	confirm
4034	99-71-28-007611_99-67-28-003826	99-71-28-007611	99-67-28-003826	confirm
4035	99-71-28-007612_99-69-28-007407	99-71-28-007612	99-69-28-007407	confirm
4036	99-71-28-007616_99-69-01-002328	99-71-28-007616	99-69-01-002328	confirm
4037	99-71-28-007617_99-69-28-007412	99-71-28-007617	99-69-28-007412	confirm
4038	99-71-28-007619_99-69-28-007414	99-71-28-007619	99-69-28-007414	confirm
4039	99-71-28-007648_99-69-28-007236	99-71-28-007648	99-69-28-007236	confirm
4040	99-71-28-007772_99-67-28-005117	99-71-28-007772	99-67-28-005117	confirm
4041	99-71-28-007897_99-69-28-007647	99-71-28-007897	99-69-28-007647	confirm
4042	99-71-28-007969_99-69-13-000120	99-71-28-007969	99-69-13-000120	confirm
4043	99-71-28-008148_99-69-28-007898	99-71-28-008148	99-69-28-007898	confirm
4044	99-71-28-008231_99-69-28-007979	99-71-28-008231	99-69-28-007979	confirm
4045	99-71-28-008326_99-67-01-000800	99-71-28-008326	99-67-01-000800	confirm
4046	99-71-28-008327_99-69-01-001161	99-71-28-008327	99-69-01-001161	confirm
4047	99-71-28-008330_99-69-07-000387	99-71-28-008330	99-69-07-000387	confirm
